age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,education
90,?,77053,9,Widowed,?,Not-in-family,White,Female,0,4356,40,United-States,<=50K,HS-grad
82,Private,132870,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,<=50K,HS-grad
66,?,186061,10,Widowed,?,Unmarried,Black,Female,0,4356,40,United-States,<=50K,Some-college
54,Private,140359,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States,<=50K,7th-8th
41,Private,264663,10,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,United-States,<=50K,Some-college
34,Private,216864,9,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States,<=50K,HS-grad
38,Private,150601,6,Separated,Adm-clerical,Unmarried,White,Male,0,3770,40,United-States,<=50K,10th
74,State-gov,88638,16,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,>50K,Doctorate
68,Federal-gov,422013,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,<=50K,HS-grad
41,Private,70037,10,Never-married,Craft-repair,Unmarried,White,Male,0,3004,60,?,>50K,Some-college
45,Private,172274,16,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,>50K,Doctorate
38,Self-emp-not-inc,164526,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,>50K,Prof-school
52,Private,129177,13,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States,>50K,Bachelors
32,Private,136204,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,>50K,Masters
51,?,172175,16,Never-married,?,Not-in-family,White,Male,0,2824,40,United-States,>50K,Doctorate
46,Private,45363,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,>50K,Prof-school
45,Private,172822,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,>50K,11th
57,Private,317847,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States,>50K,Masters
22,Private,119592,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,40,?,>50K,Assoc-acdm
34,Private,203034,13,Separated,Sales,Not-in-family,White,Male,0,2824,50,United-States,>50K,Bachelors
37,Private,188774,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,40,United-States,>50K,Bachelors
29,Private,77009,7,Separated,Sales,Not-in-family,White,Female,0,2754,42,United-States,<=50K,11th
61,Private,29059,9,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States,<=50K,HS-grad
51,Private,153870,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603,40,United-States,<=50K,Some-college
61,?,135285,9,Married-civ-spouse,?,Husband,White,Male,0,2603,32,United-States,<=50K,HS-grad
21,Private,34310,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,40,United-States,<=50K,Assoc-voc
33,Private,228696,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico,<=50K,1st-4th
49,Private,122066,3,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,40,Greece,<=50K,5th-6th
37,Self-emp-inc,107164,6,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States,>50K,10th
38,Private,175360,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559,90,United-States,>50K,10th
23,Private,44064,10,Separated,Other-service,Not-in-family,White,Male,0,2559,40,United-States,>50K,Some-college
59,Self-emp-inc,107287,6,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States,>50K,10th
52,Private,198863,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,60,United-States,>50K,Prof-school
51,Private,123011,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,>50K,Bachelors
60,Self-emp-not-inc,205246,9,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,50,United-States,>50K,HS-grad
63,Federal-gov,39181,16,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,>50K,Doctorate
53,Private,149650,9,Never-married,Sales,Not-in-family,White,Male,0,2559,48,United-States,>50K,HS-grad
51,Private,197163,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,>50K,Prof-school
37,Self-emp-not-inc,137527,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,>50K,Doctorate
54,Private,161691,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,>50K,Masters
44,Private,326232,13,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,50,United-States,>50K,Bachelors
43,Private,115806,14,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,>50K,Masters
