Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureKNN,measureTreeSize
MSFT,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902100403E7,830.0,428.0,419.0,9.0,0.0,97.89719626168224,2.102803738317757,0.0,0.9577613053204087,0.03722291440660825,0.11837507958283086,7.464875159680787,23.706328399797638,427.18459160448043,30.562362139936084,396.6222294645444,0.9980948401973841,0.07140738817742076,0.9266874520199635,398.3422758504048,0.9307062519869271,93.24827806973431,0.9955555555555555,224.0,0.03940886699507389,8.0,0.9605911330049262,195.0,0.0044444444444444444,1.0,0.9655172413793104,0.9955555555555555,0.9803063457330417,0.9582785678817239,0.9993650793650793,0.9994355967777935,0.9789719626168224,0.02282527405634077,0.9771747259436592,0.02102803738317757,0.979452488375305,0.9789719626168224,0.9789485523867134,0.9582785678817239,0.9993650793650793,0.999373942524607,0.978874977377799,0.9789719626168224,0.692,0.001,0.64139,9.649999999999999E-4,641.39,0.965,13503.0,105347.0,55097.0,100.0,57.47663551401869,?,?,?
letterData,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 3 -S 0 -E 20 -H a -B',-5990607817048210779,2.01902100403E7,13197.0,6803.0,5491.0,1312.0,0.0,80.71439070998089,19.28560929001911,0.0,0.7994219609403513,0.020636213157768816,0.10944639569433808,27.90113054345477,56.91311386326489,31972.83636056189,14489.013236121978,17483.823124439914,4.699814252618241,2.1297976240073466,2.5700166286108943,25653.235559581808,3.7708710215466423,80.23446925473513,0.8118081180811808,220.0,0.003061849357011635,20.0,0.9969381506429884,6512.0,0.1881918819188192,51.0,0.9166666666666666,0.8118081180811808,0.8610567514677103,0.8573599660002937,0.9407825906183128,0.8506774839081467,0.8071439070998089,0.00768827138754449,0.9923117286124555,0.1928560929001911,0.8190398758137359,0.8071439070998089,0.8084595625823444,0.8032875818243292,0.9564224465139127,0.8153212670832513,0.8076539856166131,0.8071439070998089,16.291,0.071,15.466253,0.07058299999999999,15466.253,70.583,75720.0,2179786.0,1124776.0,87.37321769807438,7.7471477515582015,?,?,?
MSFT,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01902100403E7,830.0,428.0,389.0,39.0,0.0,90.88785046728972,9.11214953271028,0.0,0.81740614334471,0.0921043763479509,0.3015027328070359,18.471086481493984,60.3802998278762,427.18459160448043,378.99208399072586,48.19250761375457,0.9980948401973841,0.8854955233428174,0.11259931685456676,348.4197418929575,0.8140648175069101,81.56187014712147,0.9066666666666666,204.0,0.08866995073891626,18.0,0.9113300492610837,185.0,0.09333333333333334,21.0,0.918918918918919,0.9066666666666666,0.912751677852349,0.8174867846938295,0.9089983579638752,0.8822185737139009,0.9088785046728972,0.0908817887451468,0.9091182112548531,0.0911214953271028,0.9090247242978393,0.9088785046728972,0.9089069142561206,0.8174867846938295,0.9089983579638752,0.8719096704724929,0.9086985773124825,0.9088785046728972,0.0,0.044,1.29E-4,0.043257,0.129,43.257,107204.0,105347.0,55097.0,90.88785046728972,50.0,?,1.0,?
letterData,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01902100404E7,13197.0,6803.0,6469.0,334.0,0.0,95.09040129354696,4.9095987064530355,0.0,0.9489378155863036,0.003917314923261788,0.060909910008028215,5.296393975878464,31.673703110055563,31972.83636056189,4486.877101411369,27485.95925915052,4.699814252618241,0.6595438926078743,4.040270360010366,30390.061262247546,4.467155852160451,95.04962562449829,0.974169741697417,264.0,0.0016840171463563993,11.0,0.9983159828536436,6521.0,0.025830258302583026,7.0,0.96,0.974169741697417,0.967032967032967,0.9656829165481351,0.9861852407562655,0.9374405832620049,0.9509040129354697,0.0019616104656945466,0.9980383895343052,0.049095987064530354,0.9511735114389887,0.9509040129354697,0.950902354686659,0.9490204676061587,0.9775872814347113,0.9145755125458409,0.9506500531721188,0.9509040129354697,0.004,39.858,0.003819,37.407255,3.819,37407.255,2182023.0,2179786.0,1124776.0,95.23739526679407,3.860853243478897,?,1.0,?
MSFT,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902100404E7,830.0,428.0,421.0,7.0,0.0,98.3644859813084,1.6355140186915889,0.0,0.9671793523509049,0.016355140186915886,0.12788721666732716,3.2799441328197205,25.611271959739874,427.18459160448043,7518.0,-7090.81540839552,0.9980948401973841,17.565420560747665,-16.56732572055028,413.156307703908,0.9653184759437102,96.716107234139,0.9911111111111112,223.0,0.024630541871921183,5.0,0.9753694581280788,198.0,0.008888888888888889,2.0,0.9780701754385965,0.9911111111111112,0.9845474613686535,0.9672750457968908,0.983240284619595,0.9740491155198485,0.9836448598130841,0.017164290573894184,0.9828357094261059,0.016355140186915886,0.9837284800787014,0.9836448598130841,0.9836381406948044,0.9672750457968909,0.983240284619595,0.9755900614931512,0.9835888671607536,0.9836448598130841,0.014,0.0,0.013937,2.7100000000000003E-4,13.937,0.271,7287.0,105347.0,55097.0,98.3644859813084,50.0,?,?,?
letterData,1,weka.classifiers.functions.SMO,'-C 1.0 -L 0.003 -P 1.0E-12 -N 0 -V -1 -W 3 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',-6585883636378691736,2.01902100404E7,13197.0,6803.0,5541.0,1262.0,0.0,81.44936057621638,18.550639423783625,0.0,0.8070647444302591,0.07114348264384059,0.18615728882452162,96.18933383688797,96.80347085102578,31972.83636056189,25438.991468283268,6533.844892278623,4.699814252618241,3.7393784313219562,0.9604358212962845,6543.407664474643,0.9618414911766343,20.46552139035703,0.8191881918819188,222.0,0.0052051439069197795,34.0,0.9947948560930803,6498.0,0.18081180811808117,49.0,0.8671875,0.8191881918819188,0.8425047438330171,0.8365308095315398,0.9762638884808934,0.7824492177462008,0.8144936057621638,0.007385906909326544,0.9926140930906735,0.18550639423783624,0.8239980455446043,0.8144936057621638,0.8162296121206601,0.8104942961152314,0.9789444927801111,0.7557943703888177,0.8151046741653083,0.8144936057621638,3.179,0.101,2.962404,0.09467700000000001,2962.404,94.677,117167.0,2179786.0,1124776.0,99.9853006026753,79.61815488642179,?,?,?
MSFT,1,weka.classifiers.meta.AdaBoostM1,'-Q -P 100 -S 3 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.01902100404E7,830.0,428.0,428.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,427.18459160448043,0.0,427.18459160448043,0.9980948401973841,0.0,0.9980948401973841,427.18459160448043,0.9980948401973841,100.0,1.0,225.0,0.0,0.0,1.0,203.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017,0.0,0.015281000000000001,2.0E-4,15.281,0.2,3016.0,105347.0,55097.0,100.0,50.0,?,?,?
letterData,1,weka.classifiers.meta.AdaBoostM1,'-Q -P 100 -S 3 -I 10 -W weka.classifiers.trees.DecisionStump',-1178107808933117974,2.01902100404E7,13197.0,6803.0,459.0,6344.0,0.0,6.747023372041746,93.25297662795825,0.0,0.029371551932267332,0.07259183027872408,0.19054528749223112,98.14756794332214,99.0852697738945,31972.83636056189,29316.591987939333,2656.2443726225574,4.699814252618241,4.3093623383712085,0.3904519142470318,3908.7844010242598,0.5745677496728296,12.22532889151398,0.0,0.0,0.0,0.0,1.0,6532.0,1.0,271.0,NaN,0.0,NaN,NaN,0.6558464375213257,0.06216560116636288,0.06747023372041747,0.038096012556801666,0.9619039874431984,0.9325297662795825,NaN,0.06747023372041747,NaN,NaN,0.6593671471080417,0.05942025815900821,NaN,0.06747023372041747,0.185,0.015,0.147959,0.012589000000000001,147.959,12.589,4276.0,2179786.0,1124776.0,95.25209466411877,74.0680016734735,?,?,?
MSFT,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.003 -N 3 -S 3 -L -1 -I 0.0',-9216785998198681299,2.01902100404E7,830.0,428.0,428.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,427.18459160448043,0.0,427.18459160448043,0.9980948401973841,0.0,0.9980948401973841,427.18459160448043,0.9980948401973841,100.0,1.0,225.0,0.0,0.0,1.0,203.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,0.0,0.001131,1.74E-4,1.131,0.174,2621.0,105347.0,55097.0,100.0,50.0,?,?,3.0
letterData,1,weka.classifiers.trees.REPTree,'-M 2 -V 0.003 -N 3 -S 3 -L -1 -I 0.0',-9216785998198681299,2.01902100404E7,13197.0,6803.0,5617.0,1186.0,0.0,82.56651477289431,17.433485227105688,0.0,0.8186815556333363,0.018140267950167713,0.10330490366626628,24.526495258667953,53.7194825621469,31972.83636056189,453576.87006842124,-421604.03370785934,4.699814252618241,66.67306630433944,-61.973252051721204,26527.559062061828,3.8993913070794983,82.9690514876661,0.8302583025830258,225.0,0.005970606246172688,39.0,0.9940293937538273,6493.0,0.16974169741697417,46.0,0.8522727272727273,0.8302583025830258,0.8411214953271028,0.8346971272067589,0.9681906616984113,0.8430305317580423,0.8256651477289431,0.006983580650501903,0.9930164193494979,0.17433485227105688,0.8281328297761049,0.8256651477289431,0.8258440805091972,0.8194472552362079,0.9616304292493418,0.8297678654819637,0.8256033008296616,0.8256651477289431,0.227,0.026,0.213921,0.025338,213.921,25.338,701567.0,2179786.0,1124776.0,92.09172423930619,8.39844412532989,?,?,979.0
