date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,trend
1,65.8882,66.4074,65.1226,65.5266,169762789,24251827,-0.126916,-0.193,71.9614,0,DOWN
2,64.9233,65.7558,64.7096,65.6339,116336444,16619492,0.107251,0.164,71.6528,0.001637503,UP
3,65.8974,66.5687,65.4634,65.7558,100620772,14374396,0.121932,0.186,65.9462,0.003497816,UP
4,66.3222,66.7955,65.9171,66.7077,94273543,13467649,0.95186,1.448,67.912,0.018024741,UP
5,66.4153,67.5586,66.3749,67.2059,82322156,11760308,0.498221,0.747,67.1585,0.02562776,UP
6,67.2745,67.7282,66.9777,67.5976,64497223,9213889,0.391719,0.583,67.6112,0.031605485,UP
7,68.7675,68.972,68.2399,68.5433,93638601,13376943,0.945686,1.399,68.8015,0.046037792,UP
8,68.4088,70.1669,68.3217,69.7712,86451022,12350146,1.2279,1.791,69.5991,0.064776747,UP
9,69.9849,70.9266,69.8385,70.6906,70672252,10096036,0.919309,1.318,70.5433,0.07880769,UP
10,70.8211,71.1654,70.3318,70.6853,77127064,11018152,-0.005276,-0.007,70.9369,0.078726807,DOWN
11,70.5191,71.8631,70.4584,71.8077,76960156,10994308,1.1224,1.588,71.4105,0.095855729,UP
12,71.5492,72.0121,71.383,71.7497,68468036,9781148,-0.058036,-0.081,71.6841,0.094970592,DOWN
13,72.0148,72.6993,71.9633,72.0135,65306248,9329464,0.263793,0.368,72.3001,0.098996438,UP
14,71.8499,72.1322,70.4782,70.8765,78554420,11222060,-1.1369,-1.579,71.5665,0.081644706,DOWN
15,70.2988,70.8277,69.7726,70.0561,76529103,10932729,-0.820386,-1.157,70.1436,0.0691246,DOWN
16,70.2728,70.5072,69.1922,69.278,69757247,9965321,-0.778182,-1.111,69.7233,0.057250033,DOWN
17,69.001,69.8939,68.9047,69.5813,72364950,10337850,0.303357,0.438,69.4534,0.061878687,UP
18,69.8227,69.8471,68.7174,68.8572,58247350,8321050,-0.724103,-1.041,69.2109,0.050828213,DOWN
19,69.0617,69.245,68.0052,68.236,69131286,9875898,-0.621228,-0.902,68.4295,0.041348094,DOWN
20,68.2083,69.7435,68.0645,69.5971,75557321,10793903,1.3612,1.995,69.1569,0.062119811,UP
21,69.7831,70.2672,68.8651,69.4085,93074653,13296379,-0.188612,-0.271,69.5702,0.05924159,DOWN
22,69.0366,69.9902,68.9561,69.609,59667923,8523989,0.200482,0.289,69.4336,0.062301417,UP
23,70.0364,70.2527,69.6103,70.068,64884834,9269262,0.458995,0.659,69.9929,0.069306205,UP
24,70.0258,70.531,69.7897,70.2157,50065519,7152217,0.147724,0.211,72.2467,0.071560252,UP
25,70.2724,70.4901,69.6539,70.0034,46423111,6631873,-0.212355,-0.302,70.0689,0.068320346,DOWN
26,70.0482,70.1656,69.3835,69.9625,55415241,7916463,-0.040884,-0.058,69.7824,0.067696172,DOWN
27,69.6882,70.3437,69.6854,70.0258,44691430,6384490,0.063308,0.09,70.085,0.068662192,UP
28,70.6233,71.0572,70.2461,70.7077,70198849,10028407,0.6819,0.974,70.7871,0.079068653,UP
29,70.4993,70.8739,70.1683,70.7763,50195460,7170780,0.068582,0.097,70.5878,0.080115556,UP
30,70.8858,71.1786,69.7937,69.9902,64435609,9205087,-0.786092,-1.111,70.402,0.068118901,DOWN
31,69.7449,70.0218,68.9812,69.2041,59299492,8471356,-0.786097,-1.123,69.3315,0.056122247,DOWN
