date,open,high,low,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,close,trend
1,32.6236,32.7034,32.127,35111959,35111959,0.17735,0.546,32.5187,0,32.6856,UP
2,32.7654,33.599,32.4196,93190755,93190755,0.869012,2.659,33.423,0.026586631,33.5546,UP
3,33.466,33.6832,32.3043,64102391,64102391,-1.206,-3.594,32.8458,-0.010307291,32.3487,DOWN
4,32.7832,32.9774,32.1447,55526924,55526924,-0.115277,-0.356,32.411,-0.013834839,32.2334,DOWN
5,32.1802,32.3398,31.7457,55841097,55841097,-0.469978,-1.458,32.0088,-0.028214259,31.7634,DOWN
6,31.7457,32.1447,31.6481,35380994,35380994,0.319232,1.005,32.0218,-0.018448491,32.0826,UP
7,32.2068,32.4462,31.9319,33348008,33348008,0.336965,1.05,32.2702,-0.00813814,32.4196,UP
8,32.4817,32.6324,32.1802,26782083,26782083,0.212821,0.656,32.5426,-0.001627628,32.6324,UP
9,32.7034,33.0403,32.6856,32164989,32164989,0.33253,1.019,32.9413,0.008548107,32.965,UP
10,33.1201,33.3418,33.0758,27055869,27055869,0.261593,0.794,33.2367,0.016551631,33.2266,UP
11,33.1024,33.5724,33.1024,37647772,37647772,0.124142,0.374,33.4157,0.02034841,33.3507,UP
12,33.1556,33.5014,33.1024,42986738,42986738,0.00887,0.027,33.3362,0.020620701,33.3596,UP
13,33.6187,33.7527,33.4221,32839707,32839707,0.071478,0.214,33.5283,0.02280515,33.431,UP
14,33.2524,33.7259,33.2434,29794084,29794084,0.080404,0.241,33.5286,0.025264948,33.5114,UP
15,33.565,33.8331,33.4087,27541038,27541038,0.214417,0.64,33.6762,0.031827471,33.7259,UP
16,33.8956,34.2619,33.8241,38030656,38030656,0.205483,0.609,34.0174,0.038111584,33.9313,UP
17,33.6723,33.9269,33.5382,32143395,32143395,-0.259088,-0.764,33.7801,0.030187606,33.6723,DOWN
18,33.6008,33.8152,33.3685,30867657,30867657,-0.134011,-0.398,33.6166,0.026084881,33.5382,DOWN
19,33.5741,33.7169,33.2256,41042629,41042629,-0.062537,-0.186,33.5049,0.024172724,33.4757,DOWN
20,33.4578,33.8509,33.2613,33919024,33919024,0.348424,1.041,33.5998,0.034831853,33.8241,UP
21,33.9313,34.3602,33.7884,41217028,41217028,0.402033,1.189,34.1588,0.047133906,34.2262,UP
22,33.8777,34.0654,33.498,29716052,29716052,-0.473502,-1.383,33.7001,0.032647404,33.7527,DOWN
23,34.1279,34.378,34.0118,26868337,26868337,0.562841,1.668,34.246,0.049865996,34.3155,UP
24,34.1726,34.1903,33.8867,20520432,20520432,-0.26802,-0.781,34.0569,0.041666667,34.0475,DOWN
25,34.0743,34.1636,33.8509,23605310,23605310,0.035738,0.105,34.0134,0.042758891,34.0832,UP
26,34.1994,34.2708,33.6723,26596635,26596635,-0.223349,-0.655,33.841,0.035927136,33.8599,DOWN
27,33.9403,33.9581,33.6991,19007850,19007850,-0.071474,-0.211,33.8008,0.033739628,33.7884,DOWN
28,33.8331,34.1547,33.6991,25218133,25218133,0.178681,0.529,33.9532,0.039206868,33.9671,UP
29,33.7705,34.3334,33.7616,30496295,30496295,0.22335,0.658,34.13,0.046038623,34.1904,UP
30,34.3244,34.3512,33.6288,32169650,32169650,-0.339495,-0.993,34.4047,0.035651785,33.8509,DOWN
31,33.6374,34.0698,33.5077,27195638,27195638,-0.169746,-0.501,33.8364,0.030459897,33.6812,DOWN
32,33.8599,34.3155,33.7616,20479610,20479610,0.312693,0.928,34.0762,0.040026801,33.9939,UP
33,34.1815,35.6467,34.1458,64063866,64063866,1.3401,3.942,35.212,0.081026507,35.334,UP
34,35.2625,35.334,34.7622,35597241,35597241,-0.250151,-0.708,34.6109,0.07337176,35.0838,DOWN
35,35.066,36.3158,35.057,59269801,59269801,0.947001,2.699,35.8936,0.102344763,36.0308,UP
36,36.3793,36.5758,35.7449,80731942,80731942,-0.151878,-0.422,32.4263,0.097700516,35.879,DOWN
37,36.0398,36.3078,35.6109,46098374,46098374,0.303757,0.847,36.0052,0.10699207,36.1827,UP
38,36.3257,36.6205,35.7002,43193147,43193147,-0.142943,-0.395,36.0014,0.102620114,36.0398,DOWN
39,36.1648,36.3659,35.3787,41982966,41982966,-0.49137,-1.363,35.5822,0.087585971,35.5484,DOWN
40,35.5037,35.7092,35.1464,35369170,35369170,-0.384162,-1.081,35.0855,0.075831559,35.1642,DOWN
41,35.5484,36.3033,35.4501,43472747,43472747,0.839796,2.388,36.0589,0.101524831,36.004,UP
42,36.1202,37.0761,36.0934,46886284,46886284,0.616446,1.712,36.7789,0.120386348,36.6205,UP
43,36.7634,37.1565,36.6919,32610395,32610395,0.384163,1.049,36.9556,0.1321377,37.0046,UP
44,37.0225,37.2191,36.7813,28607267,28607267,-0.062538,-0.169,36.9349,0.130225543,36.9421,DOWN
45,36.8885,36.8885,36.3703,30139567,30139567,-0.303758,-0.822,36.5982,0.12093093,36.6383,DOWN
46,36.8528,36.9778,35.4144,51409573,51409573,-1.0185,-2.78,35.8551,0.089773478,35.6199,DOWN
47,35.7003,35.9772,35.5037,37559615,37559615,-0.06254,-0.176,35.7255,0.087858262,35.5573,DOWN
48,35.5127,35.6735,35.0213,35919609,35919609,0.017869,0.05,35.4644,0.088405904,35.5752,UP
49,35.6735,36.2274,35.6288,27398687,27398687,0.580709,1.632,35.9756,0.106172137,36.1559,UP
