date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-01-30,25.4348,25.8113,25.2759,25.7862,32113452,32113452,0.594035,2.358,25.6101,"Jan 30, 14",0
2014-01-31,25.5687,25.6524,25.2759,25.4348,41415729,41415729,-0.351402,-1.363,25.4855,"Jan 31, 14",-0.01362744413678641
2014-02-03,25.9619,26.5141,25.5771,25.6022,61312704,61312704,0.167338,0.658,25.9603,"Feb 3, 14",-0.0071355996618346655
2014-02-04,26.4723,26.7735,25.6022,26.305,47307645,47307645,0.702804,2.745,26.1679,"Feb 4, 14",0.020119288611738013
2014-02-05,26.1447,26.305,25.7988,25.8578,37160317,37160317,-0.447128,-1.7,25.812,"Feb 5, 14",0.0027766789988443474
2014-02-06,25.9042,26.0772,25.8157,26.0181,23571095,23571095,0.160294,0.62,25.9522,"Feb 6, 14",0.008993182399888295
2014-02-07,26.0181,26.3893,25.8241,26.3387,27925229,27925229,0.320585,1.232,25.8845,"Feb 7, 14",0.02142618920197619
2014-02-10,26.3725,26.5496,26.2628,26.5496,22592138,22592138,0.210914,0.801,26.4509,"Feb 10, 14",0.02960498251002477
2014-02-11,26.8196,26.9799,26.5159,26.8955,24751159,24751159,0.345897,1.303,26.8074,"Feb 11, 14",0.04301913426561484
2014-02-12,26.8871,26.9968,26.6171,26.6678,21258791,21258791,-0.227786,-0.847,26.7751,"Feb 12, 14",0.03418882968409455
2014-02-13,26.575,26.8685,26.4906,26.7437,18908053,18908053,0.075927,0.285,26.7225,"Feb 13, 14",0.037132264544601355
2014-02-14,26.8955,26.9968,26.7437,26.9462,18916233,18916233,0.202479,0.757,26.896,"Feb 14, 14",0.044985302215913944
2014-02-18,26.8365,27.0727,26.8197,26.8955,19688059,19688059,-0.05062,-0.188,26.9391,"Feb 18, 14",0.04301913426561484
2014-02-19,26.9293,26.963,26.5243,26.5581,27748274,27748274,-0.33746,-1.255,27.1687,"Feb 19, 14",0.029934616190055094
2014-02-20,26.44,26.7521,26.3725,26.6171,22456010,22456010,0.059055,0.222,26.6359,"Feb 20, 14",0.032222661733795586
2014-02-21,26.7268,26.8027,26.5243,26.5412,18471924,18471924,-0.075927,-0.285,26.6596,"Feb 21, 14",0.029279226873288773
2014-02-24,26.9883,27.0643,26.6003,26.9883,38786380,38786380,0.447133,1.685,26.9514,"Feb 24, 14",0.04661795844288798
2014-02-25,26.6171,26.9883,26.6087,26.904,27197243,27197243,-0.084364,-0.313,26.8666,"Feb 25, 14",0.04334876794564531
2014-02-26,26.7774,26.9968,26.7606,26.9883,25023439,25023439,0.084364,0.314,26.9326,"Feb 26, 14",0.04661795844288798
2014-02-27,26.8871,27.1993,26.8534,27.1908,22754494,22754494,0.202477,0.75,27.0705,"Feb 27, 14",0.05447099611420056
2014-02-28,27.098,27.3427,26.8702,27.0896,27517571,27517571,-0.10124,-0.372,27.1389,"Feb 28, 14",0.05054641630019157
2014-03-03,26.5918,27.1149,26.5918,26.9799,23791929,23791929,-0.109675,-0.405,26.7162,"Mar 3, 14",0.046292202806152115
2014-03-04,27.2836,27.6211,27.2836,27.5789,26342366,26342366,0.598992,2.22,27.5254,"Mar 4, 14",0.06952168214005941
2014-03-05,27.5451,27.7982,27.503,27.6295,22451734,22451734,0.050619,0.184,27.7611,"Mar 5, 14",0.0714839720470639
2014-03-06,27.6717,27.8067,27.3427,27.3849,20551400,20551400,-0.244658,-0.885,27.5395,"Mar 6, 14",0.06199827814877715
2014-03-07,27.427,27.5536,27.1486,27.3595,17610815,17610815,-0.025309,-0.092,27.2876,"Mar 7, 14",0.0610132551519805
2014-03-10,27.3511,27.4566,27.2414,27.3258,15958700,15958700,-0.033748,-0.123,27.347,"Mar 10, 14",0.05970635456174233
2014-03-11,27.2921,27.5198,27.1993,27.3511,24165672,24165672,0.025311,0.093,27.3625,"Mar 11, 14",0.060687499515244506
2014-03-12,27.1233,27.4777,26.9377,26.9799,32518265,32518265,-0.371207,-1.357,27.553,"Mar 12, 14",0.046292202806152115
2014-03-13,26.9883,27.0136,26.0772,26.2544,45895720,45895720,-0.725534,-2.689,25.7457,"Mar 13, 14",0.01815699870473352
2014-03-14,26.2797,26.5201,26.0097,26.3472,27112901,27112901,0.092798,0.353,26.4648,"Mar 14, 14",0.021755822882006653
2014-03-17,26.499,26.6003,26.3725,26.5075,21264210,21264210,0.160292,0.608,26.4825,"Mar 17, 14",0.0279723262830506
2014-03-18,26.5496,27.0432,26.5075,26.9377,23080384,23080384,0.430262,1.623,26.911,"Mar 18, 14",0.04465566853588348
2014-03-19,26.9377,27.0643,26.4821,26.7521,23082990,23082990,-0.185602,-0.689,26.1726,"Mar 19, 14",0.03745802018133722
2014-03-20,27.098,27.098,26.7521,26.9208,22696147,22696147,0.168729,0.631,26.8926,"Mar 20, 14",0.04400027921911716
2014-03-21,27.2752,27.4102,26.5413,27.1486,62719258,62719258,0.227785,0.846,25.6348,"Mar 21, 14",0.052834461843931924
2014-03-24,26.8027,26.9124,26.4315,26.5665,41807065,41807065,-0.582117,-2.144,26.6178,"Mar 24, 14",0.03026037182679109
2014-03-25,26.8027,26.9883,26.6509,26.8449,21139199,21139199,0.278404,1.048,26.8249,"Mar 25, 14",0.041056844358610345
2014-03-26,27.0052,27.3427,26.7184,27.1486,31579480,31579480,0.303713,1.131,27.1321,"Mar 26, 14",0.052834461843931924
2014-03-27,27.233,27.3174,26.9124,27.0811,27743994,27743994,-0.067489,-0.249,26.9851,"Mar 27, 14",0.050216782620161105
2014-03-28,27.1655,27.4017,26.7775,26.8955,21969901,21969901,-0.185604,-0.685,27.0278,"Mar 28, 14",0.04301913426561484
2014-03-31,26.963,27.1486,26.8534,27.098,18473249,18473249,0.202475,0.753,27.0565,"Mar 31, 14",0.050872171936927425
2014-04-01,26.9377,27.2077,26.7859,26.9546,21836775,21836775,-0.143422,-0.529,26.9454,"Apr 1, 14",0.0453110578526498
2014-04-02,26.9293,27.3258,26.8365,27.2414,21615821,21615821,0.286844,1.064,27.1754,"Apr 2, 14",0.05643328602120506
2014-04-03,27.3595,27.4102,27.1486,27.3342,20036574,20036574,0.092801,0.341,27.2784,"Apr 3, 14",0.060032110198478185
2014-04-04,27.4355,27.5789,27.0558,27.1318,26276720,26276720,-0.202474,-0.741,27.3159,"Apr 4, 14",0.05218295057046007
2014-04-07,26.5581,26.7521,26.1953,26.3219,54582482,54582482,-0.809905,-2.985,29.6602,"Apr 7, 14",0.020774677928504334
2014-04-08,26.3725,26.4821,26.0266,26.0435,34572690,34572690,-0.278403,-1.058,26.2191,"Apr 8, 14",0.009978205396685078
2014-04-09,26.1447,26.364,25.8325,26.3472,38686954,38686954,0.303711,1.166,26.1106,"Apr 9, 14",0.021755822882006653
2014-04-10,26.4737,26.5159,25.7397,25.8241,30444904,30444904,-0.523061,-1.985,25.9847,"Apr 10, 14",0.0014697784086061725
2014-04-11,25.7313,25.7313,25.1661,25.1914,40821080,40821080,-0.632738,-2.45,25.3891,"Apr 11, 14",-0.023066601515539294
2014-04-14,25.3517,25.4191,24.9551,25.1998,28833929,28833929,0.008439,0.033,25.1938,"Apr 14, 14",-0.022740845878803435
2014-04-15,25.2842,25.436,24.972,25.2167,30079681,30079681,0.016869,0.067,25.1844,"Apr 15, 14",-0.022085456562037115
2014-04-16,25.436,25.4951,25.242,25.3854,29506945,29506945,0.168733,0.669,25.3627,"Apr 16, 14",-0.01554319752425717
2014-04-17,25.436,25.6469,25.3685,25.5204,26536813,26536813,0.134983,0.532,25.5199,"Apr 17, 14",-0.01030783907671554
2014-04-21,25.765,26.1025,25.6469,26.035,30336778,30336778,0.514626,2.017,25.9269,"Apr 21, 14",0.009648571716654616
2014-04-22,26.0266,26.364,26.0266,26.1531,25974867,25974867,0.118109,0.454,26.2389,"Apr 22, 14",0.014228540847429926
2014-04-23,26.305,26.305,25.9506,26.0856,20493333,20493333,-0.067489,-0.258,26.0494,"Apr 23, 14",0.01161086162365911
2014-04-24,26.0688,26.0688,25.4782,25.9085,24963923,24963923,-0.177168,-0.679,25.7728,"Apr 24, 14",0.0047428469491433084
2014-04-25,25.9253,25.9844,25.7693,25.9422,18669530,18669530,0.033746,0.13,25.8974,"Apr 25, 14",0.006049747539381483
2014-04-28,26.6509,27.2921,26.4653,27.0305,71421571,71421571,1.0883,4.195,26.889,"Apr 28, 14",0.04825449271315661
2014-04-29,27.0474,27.0727,26.4906,26.7943,39659341,39659341,-0.236222,-0.874,26.7195,"Apr 29, 14",0.039094554451605854
2014-04-30,26.7943,26.9462,26.3387,26.3893,36534514,36534514,-0.404951,-1.511,26.5516,"Apr 30, 14",0.023388479108980686
2014-05-01,26.2206,26.6424,26.1025,26.2797,41507996,41507996,-0.109676,-0.416,26.2881,"May 1, 14",0.0191381436582357
2014-05-02,26.17,26.2037,25.7728,25.9422,41708460,41708460,-0.337459,-1.284,25.9614,"May 2, 14",0.006049747539381483
2014-05-05,25.5288,25.5373,25.1829,25.2757,54908732,54908732,-0.666483,-2.569,25.3183,"May 5, 14",-0.019797411018296622
2014-05-06,25.3095,25.3179,24.7468,24.8286,54719820,54719820,-0.447134,-1.769,25.1304,"May 6, 14",-0.037136142587895826
2014-05-07,24.8031,25.0925,24.556,24.7009,49056067,49056067,-0.127663,-0.514,24.8374,"May 7, 14",-0.042088403874940866
2014-05-08,24.786,25.0584,24.6669,24.8286,36094515,36094515,0.127675,0.517,24.8642,"May 8, 14",-0.037136142587895826
2014-05-09,24.769,24.8627,24.4915,24.7094,38996257,38996257,-0.119164,-0.48,24.6651,"May 9, 14",-0.04175877019491054
2014-05-12,24.9733,25.0031,24.7094,24.7946,21658093,21658093,0.085119,0.344,24.8089,"May 12, 14",-0.038454677308017535
2014-05-13,24.7775,25.0244,24.769,24.8541,26287428,26287428,0.059581,0.24,24.8731,"May 13, 14",-0.036147241547804715
2014-05-14,24.8031,24.9222,24.6158,24.769,26782297,26782297,-0.085119,-0.342,24.777,"May 14, 14",-0.03944745639140325
2014-05-15,24.7435,24.8371,24.6073,24.735,26836907,26836907,-0.034045,-0.137,24.7259,"May 15, 14",-0.040765991111524826
2014-05-16,24.6839,25.152,24.6839,24.786,35704300,35704300,0.051069,0.206,24.8536,"May 16, 14",-0.038788189031342325
2014-05-19,25.1776,25.2882,24.8967,24.9222,40994909,40994909,0.136188,0.549,25.1011,"May 19, 14",-0.03350629406426696
2014-05-20,25.1435,25.1435,24.8627,24.8967,24872164,24872164,-0.025535,-0.102,24.9898,"May 20, 14",-0.03449519510435821
2014-05-21,24.8967,25.4682,24.8541,25.1691,21444759,21444759,0.272372,1.094,25.1576,"May 21, 14",-0.023931405170207344
2014-05-22,25.1606,25.4244,25.152,25.2457,21451982,21451982,0.076606,0.304,25.3057,"May 22, 14",-0.02096082400663927
2014-05-23,25.1691,25.2287,25.0499,25.101,18933462,18933462,-0.144699,-0.573,25.1281,"May 23, 14",-0.026572352653745097
2014-05-27,25.4755,25.5266,25.1692,25.2031,26930669,26930669,0.102143,0.407,25.2432,"May 27, 14",-0.02261287045008577
2014-05-28,25.2797,25.3819,25.1946,25.2031,27369551,27369551,0,0,25.2663,"May 28, 14",-0.02261287045008577
2014-05-29,25.3053,25.3308,25.135,25.1946,24470229,24470229,-0.008511,-0.034,25.2153,"May 29, 14",-0.022942504130116094
2014-05-30,25.1606,25.3181,25.118,25.2201,26239799,26239799,0.025535,0.101,25.2328,"May 30, 14",-0.021953603090024983
2014-06-02,25.1861,25.3648,25.1861,25.2882,19999906,19999906,0.06809,0.27,25.7103,"Jun 2, 14",-0.019312655606487233
2014-06-03,25.3393,25.3819,25.152,25.1861,24202687,24202687,-0.102139,-0.404,25.3986,"Jun 3, 14",-0.02327213781014656
2014-06-04,25.2031,25.3138,25.1265,25.2287,23406829,23406829,0.042558,0.169,25.2244,"Jun 4, 14",-0.021620091366700057
2014-06-05,25.2712,25.3538,25.0925,25.3308,19358977,19358977,0.102142,0.405,25.233,"Jun 5, 14",-0.01766060916304073
2014-06-06,25.3734,25.4244,24.9733,25.0414,26817064,26817064,-0.2894,-1.142,25.2122,"Jun 6, 14",-0.028883666457252384
2014-06-09,25.0074,25.0499,24.8541,24.9818,24414475,24414475,-0.05958,-0.238,24.9397,"Jun 9, 14",-0.031194980260759675
2014-06-10,24.9733,25.1095,24.8967,25.1095,18212310,18212310,0.127675,0.511,25.0417,"Jun 10, 14",-0.026242718973714635
2014-06-11,25.0754,25.148,25.0074,25.0499,18743566,18743566,-0.059581,-0.237,25.0724,"Jun 11, 14",-0.028554032777221922
2014-06-12,25.0074,25.1861,24.9818,25.0669,24118677,24118677,0.017023,0.068,25.0993,"Jun 12, 14",-0.027894765417161134
2014-06-13,25.0754,25.1904,24.9903,25.135,19604327,19604327,0.068092,0.272,25.0963,"Jun 13, 14",-0.025253817933623385
2014-06-16,25.1095,25.2882,24.9563,25.2031,25028485,25028485,0.068096,0.271,25.1364,"Jun 16, 14",-0.02261287045008577
