iterations, train error, test error
5, 0.760968760968761, 0.7581900081900081
10, 0.7635135135135135, 0.7604422604422605
15, 0.7640400140400141, 0.7612612612612613
20, 0.7650930150930151, 0.7613636363636364
25, 0.7645665145665146, 0.7614660114660114
30, 0.7653562653562653, 0.7618755118755118
35, 0.7654440154440154, 0.7619778869778869
40, 0.7653123903123903, 0.7617731367731367
45, 0.7653123903123903, 0.7617731367731367
50, 0.7654001404001404, 0.7618755118755118
55, 0.7654878904878905, 0.7621826371826372
60, 0.7655317655317655, 0.7623873873873874
65, 0.7646981396981397, 0.7615683865683865
70, 0.7655317655317655, 0.7623873873873874
75, 0.7651807651807652, 0.7617731367731367
80, 0.7654878904878905, 0.762080262080262
85, 0.7654001404001404, 0.7619778869778869
90, 0.7653123903123903, 0.7617731367731367
95, 0.7654440154440154, 0.7619778869778869
100, 0.7655317655317655, 0.7623873873873874
