rate, train_error, test_error
50, 0.76504914004914, 0.7617731367731367
100, 0.7655317655317655, 0.7623873873873874
150, 0.7655317655317655, 0.7623873873873874
200, 0.7655317655317655, 0.7623873873873874
250, 0.7653123903123903, 0.7617731367731367
300, 0.7647420147420148, 0.7615683865683865
350, 0.7654001404001404, 0.7619778869778869
400, 0.7654878904878905, 0.7621826371826372
450, 0.7652246402246402, 0.7617731367731367
500, 0.7648297648297648, 0.7615683865683865
550, 0.7655317655317655, 0.7623873873873874
600, 0.7654878904878905, 0.7622850122850123
650, 0.7655317655317655, 0.7623873873873874
700, 0.7655317655317655, 0.7623873873873874
750, 0.7654878904878905, 0.7619778869778869
800, 0.7655317655317655, 0.7623873873873874
850, 0.7654878904878905, 0.7621826371826372
900, 0.7652246402246402, 0.7617731367731367
950, 0.7655317655317655, 0.7623873873873874
1000, 0.7655317655317655, 0.7623873873873874
