rate, train_error, test_error
50, 0.7602228852228852, 0.7567567567567568
100, 0.7614075114075114, 0.7588042588042588
150, 0.23977711477711477, 0.24324324324324326
200, 0.23977711477711477, 0.24324324324324326
250, 0.7602228852228852, 0.7567567567567568
300, 0.23775886275886277, 0.24068386568386568
350, 0.7923832923832924, 0.7861384111384111
400, 0.23977711477711477, 0.24324324324324326
450, 0.23977711477711477, 0.24324324324324326
500, 0.7602228852228852, 0.7567567567567568
550, 0.23885573885573885, 0.2418099918099918
600, 0.5608985608985609, 0.5572276822276823
650, 0.23977711477711477, 0.24324324324324326
700, 0.2791330291330291, 0.27559377559377557
750, 0.23977711477711477, 0.24324324324324326
800, 0.23977711477711477, 0.24324324324324326
850, 0.23977711477711477, 0.24324324324324326
900, 0.23977711477711477, 0.24324324324324326
950, 0.23977711477711477, 0.24324324324324326
1000, 0.7561863811863812, 0.753992628992629
