iterations, train error, test error
50, 0.7602228852228852, 0.7567567567567568
100, 0.23977711477711477, 0.24324324324324326
150, 0.7657950157950157, 0.7632063882063882
200, 0.23973323973323973, 0.24324324324324326
250, 0.7602228852228852, 0.7567567567567568
300, 0.23977711477711477, 0.24324324324324326
350, 0.23977711477711477, 0.24324324324324326
400, 0.7602228852228852, 0.7567567567567568
450, 0.23977711477711477, 0.24324324324324326
500, 0.23977711477711477, 0.24324324324324326
550, 0.2353018603018603, 0.23843161343161343
600, 0.7602667602667603, 0.7568591318591319
650, 0.23977711477711477, 0.24324324324324326
700, 0.7602228852228852, 0.7567567567567568
750, 0.7602228852228852, 0.7567567567567568
800, 0.7602228852228852, 0.7567567567567568
850, 0.23977711477711477, 0.24324324324324326
900, 0.7602228852228852, 0.7567567567567568
950, 0.2396893646893647, 0.24324324324324326
1000, 0.23977711477711477, 0.24324324324324326
