rate, train_error, test_error
50, 0.7602228852228852, 0.7567567567567568
100, 0.7605300105300106, 0.7574733824733825
150, 0.7611442611442611, 0.7583947583947583
200, 0.23977711477711477, 0.24324324324324326
250, 0.23977711477711477, 0.24324324324324326
300, 0.23973323973323973, 0.24324324324324326
350, 0.7602228852228852, 0.7567567567567568
400, 0.23977711477711477, 0.24324324324324326
450, 0.7944015444015444, 0.7901310401310402
500, 0.23938223938223938, 0.24232186732186733
550, 0.7921639171639172, 0.7875716625716626
600, 0.23977711477711477, 0.24324324324324326
650, 0.23977711477711477, 0.24324324324324326
700, 0.7602228852228852, 0.7567567567567568
750, 0.7602228852228852, 0.7567567567567568
800, 0.795015795015795, 0.7920761670761671
850, 0.7602228852228852, 0.7567567567567568
900, 0.7602228852228852, 0.7567567567567568
950, 0.7602228852228852, 0.7567567567567568
1000, 0.795015795015795, 0.7894144144144144
